NODE_ID,NODE_NAME,x,y
"2140381600",율북리1128-6,126.9705183020,37.0598998740
"2030106700",망포벽산E빌리지,127.0459246156,37.2358349965
"2030106800",망포벽산E빌리지,127.0457909317,37.2359432679
"2030107200",망포벽산E빌리지,127.0459262009,37.2359440165
"2790265000",구정교차로,127.5367923078,36.7733328878
"2520245300",옥계초등학교,129.0343263385,37.6112371047
"2520245400",옥계초등학교,129.0342989478,37.6113867688
"2520245500",옥계초등학교,129.0344062309,37.6113245175
"2520245600",옥계첨단소재융합산단,129.0307684447,37.6168729471
"2520245700",옥계첨단소재융합산단,129.0306744520,37.6169540647
"2520245800",옥계첨단소재융합산단,129.0308861222,37.6169283819
"2520245900",옥계첨단소재융합산단,129.0307935223,37.6170105084
"2340214900",역동178-24,127.2501963803,37.3983854768
"2340215000",역동178-24,127.2502966578,37.3983133991
"2340215100",역동178-22,127.2507471651,37.3979902209
"2340215200",역동178-21,127.2508465996,37.3979177219
"2340215600",역동178-24,127.2502887171,37.3984650073
"2340215700",역동178-24,127.2503898144,37.3983925534
"2790272600",석장교차로,127.5231577077,36.9003265143
"2790272700",석장교차로,127.5232291619,36.9002981056
"2790272800",석장교차로,127.5231125992,36.9004123117
"2790272900",석장교차로,127.5231366898,36.9004751380
"2790273000",석장교차로,127.5233721025,36.9003476174
"2790273100",석장교차로,127.5232578132,36.9005161962
"2790273200",석장교차로,127.5214013269,36.9026342483
"2790273300",석장교차로,127.5215226886,36.9025854879
"2790273400",석장교차로,127.5213785153,36.9027338256
"2790273500",석장교차로,127.5216192714,36.9026022406
"2790273600",석장교차로,127.5214516218,36.9028061340
"2790273700",석장교차로,127.5216826418,36.9026993717
"2980118900",대술면,126.8927250775,36.6555243694
"2980119000",대술면,126.8928586704,36.6555141159
"2980119500",골드패밀리농장,126.9294765144,36.6432880866
"2980119700",이티2리마을회관,126.9359039741,36.6458022962
"1680206600",삼광목재,126.6138247370,37.5017157495
"1680206700",고가차도남측,126.6137183174,37.5025075451
"1680206800",고가차도남측,126.6138314059,37.5025068708
"1680206900",로지스포트인천,126.6139353382,37.5044651670
"1680207000",로지스포트인천,126.6139356604,37.5045390824
"1680207100",포스코에너지미래관,126.6136991519,37.5063440197
"1680207200",포스코에너지미래관,126.6137016707,37.5064400593
"1680207300",포스코에너지미래관,126.6140272509,37.5063570726
"1680207400",포스코에너지미래관,126.6137096684,37.5066689919
"1680207500",포스코에너지미래관,126.6140236618,37.5064473002
"1680207600",포스코에너지미래관,126.6140216827,37.5066680038
"1680207700",원창동244-5,126.6152828397,37.5063981957
"1680207800",원창동244-5,126.6152398637,37.5064861090
"1680207900",원창동244-5,126.6154026675,37.5064011057
"1680208000",원창동244-5,126.6153600413,37.5064893702
"1680208100",인천발전본부,126.6140007562,37.5084874879
"1680208300",인천발전본부,126.6138255997,37.5089198101
"1680208400",인천발전본부,126.6139364410,37.5088404648
"1680208500",인천발전본부,126.6138266199,37.5090265183
"1680208600",인천발전본부,126.6139379816,37.5089507813
"1680208700",남청라TG정류장,126.6138566115,37.5119024514
"1680208800",남청라TG정류장,126.6139690197,37.5119145780
